TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer,Amount_EUR,CreditCardFees_EUR,InsuranceFees_EUR,LatePaymentAmount_EUR,MonthlyIncome_EUR
20,4385,2023-05-05,Card Payment,3889.23616171974,Checking Account,Business,Bilbao,43.263,-2.935,ATM,EUR,0.0,0.0,0.0,635,7191.14,High Income Segment,Premium Investment Services,3889.24,0.0,0.0,0.0,7191.14
21,7396,2024-01-17,Deposit,2562.163609207357,Savings Account,Platinum,Valencia,39.4699,-0.3763,ATM,EUR,0.0,0.0,0.0,748,8547.74,High Income Segment,Premium Investment Services,2562.16,0.0,0.0,0.0,8547.74
22,9666,2024-11-17,Fee,3404.541799160214,Checking Account,Standard,Valencia,39.4699,-0.3763,Branch,EUR,0.0,0.0,0.0,606,5573.25,Middle Income Segment,Mid-tier Savings Booster,3404.54,0.0,0.0,0.0,5573.25
23,3558,2024-10-20,Fee,1972.456600645855,Checking Account,Business,Malaga,36.7213,-4.4214,Mobile,EUR,0.0,0.0,0.0,828,2763.09,Low Income Segment,Financial Literacy Program Access,1972.46,0.0,0.0,0.0,2763.09
24,8849,2023-04-23,Loan Payment,12796.84636233104,Mortgage,Student,Bilbao,43.263,-2.935,ATM,USD,0.0,0.0,170.94,465,8635.25,High Income Segment,Exclusive Platinum Package,11031.76,0.0,0.0,147.36,7444.18
25,3047,2025-02-28,Transfer,2611.927729314473,Loan,Business,Murcia,37.9847,-1.1287,ATM,EUR,0.0,48.66,0.0,479,7386.01,High Income Segment,Premium Investment Services,2611.93,0.0,48.66,0.0,7386.01
26,3747,2024-08-14,Fee,7072.808735340604,Checking Account,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,0.0,0.0,507,9394.88,High Income Segment,Premium Investment Services,7072.81,0.0,0.0,0.0,9394.88
27,1189,2023-01-07,Loan Payment,5369.450372124378,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,65.11,607,6298.02,Middle Income Segment,Mid-tier Savings Booster,5369.45,0.0,0.0,65.11,6298.02
28,3734,2024-01-06,Transfer,137.0270870529579,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,EUR,0.0,0.0,0.0,639,6773.86,Middle Income Segment,Mid-tier Savings Booster,137.03,0.0,0.0,0.0,6773.86
29,4005,2025-01-01,Card Payment,844.0301918470752,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,589,4948.54,Middle Income Segment,Mid-tier Savings Booster,844.03,0.0,0.0,0.0,4948.54
30,5658,2024-11-09,Loan Payment,6924.048107341377,Checking Account,Gold,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,83.44,511,2730.56,Low Income Segment,Financial Literacy Program Access,6924.05,0.0,0.0,83.44,2730.56
31,2899,2024-10-19,Loan Payment,645.0363943555132,Savings Account,Standard,Malaga,36.7213,-4.4214,Mobile,EUR,0.0,0.0,163.57,713,3398.28,Middle Income Segment,Mid-tier Savings Booster,645.04,0.0,0.0,163.57,3398.28
32,8734,2023-08-29,Deposit,9176.159123763062,Loan,Business,Madrid,40.4168,-3.7038,Online,EUR,0.0,42.32,0.0,828,6072.51,Middle Income Segment,Personal Loan Cashback Offer,9176.16,0.0,42.32,0.0,6072.51
33,2267,2024-07-19,Card Payment,915.9630527691642,Savings Account,Standard,Barcelona,41.3874,2.1686,Mobile,EUR,0.0,0.0,0.0,749,6377.72,Middle Income Segment,Mid-tier Savings Booster,915.96,0.0,0.0,0.0,6377.72
34,2528,2024-02-13,Card Payment,4885.10863283505,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,USD,10.31,0.0,0.0,587,5057.74,Middle Income Segment,Gold Card with Travel Benefits,4211.3,8.89,0.0,0.0,4360.12
35,4556,2024-11-22,Withdrawal,1027.55101696638,Savings Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0.0,0.0,0.0,545,7426.07,High Income Segment,Premium Investment Services,1027.55,0.0,0.0,0.0,7426.07
36,4890,2023-03-17,Transfer,2603.190122463628,Checking Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,0.0,573,6668.18,Middle Income Segment,Mid-tier Savings Booster,2603.19,0.0,0.0,0.0,6668.18
37,9838,2023-06-01,Loan Payment,1872.873849578536,Mortgage,Gold,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,0.0,97.86,437,3594.46,Middle Income Segment,Mid-tier Savings Booster,1872.87,0.0,0.0,97.86,3594.46
38,6393,2023-09-09,Fee,6909.05984125442,Loan,Business,Seville,37.3891,-5.9845,ATM,EUR,0.0,75.77,0.0,387,1489.97,Low Income Segment,Financial Literacy Program Access,6909.06,0.0,75.77,0.0,1489.97
39,9792,2023-08-22,Fee,4550.103981996912,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0.0,96.66,0.0,833,9249.61,High Income Segment,Premium Investment Services,3922.5,0.0,83.33,0.0,7973.8
40,9433,2024-11-27,Withdrawal,5455.139748234597,Mortgage,Student,Barcelona,41.3874,2.1686,Branch,EUR,0.0,0.0,0.0,682,6915.34,Middle Income Segment,Mid-tier Savings Booster,5455.14,0.0,0.0,0.0,6915.34
41,8513,2023-12-24,Transfer,490.8950551964337,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,58.58,0.0,575,4473.92,Middle Income Segment,Personal Loan Cashback Offer,490.9,0.0,58.58,0.0,4473.92
42,3612,2023-01-23,Deposit,1068.25056093046,Checking Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,588,8516.75,High Income Segment,Premium Investment Services,1068.25,0.0,0.0,0.0,8516.75
43,8041,2024-05-30,Transfer,5519.536299853136,Checking Account,Business,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,0.0,0.0,689,5185.09,Middle Income Segment,Mid-tier Savings Booster,5519.54,0.0,0.0,0.0,5185.09
44,7235,2025-05-01,Fee,4366.090506490205,Mortgage,Platinum,Zaragoza,41.6488,-0.8891,Mobile,EUR,0.0,0.0,0.0,605,8839.3,High Income Segment,Exclusive Platinum Package,4366.09,0.0,0.0,0.0,8839.3
45,6486,2024-07-31,Fee,3451.563164513013,Checking Account,Student,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,0.0,835,5847.99,Middle Income Segment,Mid-tier Savings Booster,3451.56,0.0,0.0,0.0,5847.99
46,8099,2024-02-06,Deposit,7466.107323462476,Credit Card,Student,Seville,37.3891,-5.9845,ATM,EUR,19.86,0.0,0.0,824,7713.93,High Income Segment,Exclusive Platinum Package,7466.11,19.86,0.0,0.0,7713.93
47,1775,2024-02-17,Deposit,3472.508336542469,Checking Account,Gold,Bilbao,43.263,-2.935,Mobile,EUR,0.0,0.0,0.0,423,3926.32,Middle Income Segment,Mid-tier Savings Booster,3472.51,0.0,0.0,0.0,3926.32
48,9226,2025-04-09,Fee,2810.863397423469,Loan,Standard,Barcelona,41.3874,2.1686,Branch,EUR,0.0,15.68,0.0,554,1261.38,Low Income Segment,Financial Literacy Program Access,2810.86,0.0,15.68,0.0,1261.38
49,4152,2023-10-19,Loan Payment,8199.032472556859,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,182.81,691,5875.14,Middle Income Segment,Mid-tier Savings Booster,8199.03,0.0,0.0,182.81,5875.14
50,2585,2023-01-28,Loan Payment,7838.774460483614,Credit Card,Business,Madrid,40.4168,-3.7038,ATM,USD,2.62,0.0,145.39,445,6093.29,Middle Income Segment,Gold Card with Travel Benefits,6757.56,2.26,0.0,125.34,5252.84
51,4943,2023-11-30,Deposit,4679.070333171536,Checking Account,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0.0,0.0,0.0,424,5418.41,Middle Income Segment,Mid-tier Savings Booster,4679.07,0.0,0.0,0.0,5418.41
52,8555,2024-10-17,Card Payment,4115.585229400298,Credit Card,Standard,Madrid,40.4168,-3.7038,Mobile,EUR,8.14,0.0,0.0,642,9171.04,High Income Segment,Exclusive Platinum Package,4115.59,8.14,0.0,0.0,9171.04
53,4073,2024-11-23,Loan Payment,630.9850200251946,Savings Account,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0.0,0.0,175.22,330,6513.28,Middle Income Segment,Mid-tier Savings Booster,630.99,0.0,0.0,175.22,6513.28
54,2021,2023-08-17,Deposit,1244.342224330351,Savings Account,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,593,1715.94,Low Income Segment,No-Fee Basic Account,1244.34,0.0,0.0,0.0,1715.94
55,4843,2024-06-26,Transfer,9254.792205687714,Credit Card,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,45.25,0.0,0.0,389,6062.96,Middle Income Segment,Gold Card with Travel Benefits,9254.79,45.25,0.0,0.0,6062.96
56,8989,2025-02-21,Transfer,3850.964441775596,Savings Account,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,0.0,0.0,0.0,561,3119.93,Middle Income Segment,Mid-tier Savings Booster,3850.96,0.0,0.0,0.0,3119.93
57,7873,2025-04-17,Transfer,441.3637934838166,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0.0,0.0,0.0,747,4936.7,Middle Income Segment,Mid-tier Savings Booster,441.36,0.0,0.0,0.0,4936.7
58,6675,2025-02-10,Deposit,32.46730405255371,Savings Account,Business,Valencia,39.4699,-0.3763,ATM,EUR,0.0,0.0,0.0,746,6458.44,Middle Income Segment,Mid-tier Savings Booster,32.47,0.0,0.0,0.0,6458.44
59,1161,2023-02-19,Deposit,2626.019544978159,Mortgage,Business,Seville,37.3891,-5.9845,Branch,EUR,0.0,0.0,0.0,467,6954.48,Middle Income Segment,Mid-tier Savings Booster,2626.02,0.0,0.0,0.0,6954.48
60,5297,2024-01-08,Loan Payment,14064.72431074815,Mortgage,Platinum,Bilbao,43.263,-2.935,Online,EUR,0.0,0.0,166.84,436,8635.11,High Income Segment,Exclusive Platinum Package,14064.72,0.0,0.0,166.84,8635.11
61,1995,2024-03-15,Loan Payment,2895.366237984525,Savings Account,Business,Barcelona,41.3874,2.1686,Mobile,EUR,0.0,0.0,62.05,724,5585.22,Middle Income Segment,Mid-tier Savings Booster,2895.37,0.0,0.0,62.05,5585.22
62,8629,2025-02-12,Loan Payment,10415.14268249008,Loan,Gold,Malaga,36.7213,-4.4214,ATM,EUR,0.0,90.65,164.68,431,2884.65,Low Income Segment,Financial Literacy Program Access,10415.14,0.0,90.65,164.68,2884.65
63,2016,2023-07-04,Withdrawal,2323.24036495889,Savings Account,Business,Zaragoza,41.6488,-0.8891,ATM,EUR,0.0,0.0,0.0,832,3207.61,Middle Income Segment,Mid-tier Savings Booster,2323.24,0.0,0.0,0.0,3207.61
64,8869,2025-02-26,Deposit,4124.180621246264,Savings Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0.0,0.0,0.0,363,2019.63,Low Income Segment,No-Fee Basic Account,4124.18,0.0,0.0,0.0,2019.63
65,7439,2023-05-02,Card Payment,173.9986122699694,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,USD,0.0,0.0,0.0,546,1794.71,Low Income Segment,No-Fee Basic Account,150.0,0.0,0.0,0.0,1547.16
66,8892,2023-09-15,Transfer,5306.685307708655,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0.0,76.68,0.0,757,4758.75,Middle Income Segment,Personal Loan Cashback Offer,5306.69,0.0,76.68,0.0,4758.75
67,7863,2023-09-09,Transfer,4696.096091947328,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0.0,56.99,0.0,654,1302.49,Low Income Segment,Financial Literacy Program Access,4696.1,0.0,56.99,0.0,1302.49
68,8916,2023-11-23,Withdrawal,4896.108358018878,Savings Account,Gold,Seville,37.3891,-5.9845,ATM,EUR,0.0,0.0,0.0,510,5617.08,Middle Income Segment,Mid-tier Savings Booster,4896.11,0.0,0.0,0.0,5617.08
69,9529,2024-09-10,Withdrawal,2348.533948611826,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0.0,0.0,0.0,704,4574.97,Middle Income Segment,Mid-tier Savings Booster,2348.53,0.0,0.0,0.0,4574.97
70,1878,2025-02-10,Transfer,4083.688443735576,Credit Card,Standard,Barcelona,41.3874,2.1686,ATM,EUR,40.31,0.0,0.0,511,7374.19,High Income Segment,Exclusive Platinum Package,4083.69,40.31,0.0,0.0,7374.19
71,5887,2023-12-09,Deposit,11309.65665474746,Mortgage,Platinum,Madrid,40.4168,-3.7038,Online,EUR,0.0,0.0,0.0,444,5453.38,Middle Income Segment,Mid-tier Savings Booster,11309.66,0.0,0.0,0.0,5453.38
72,5859,2023-01-24,Transfer,8615.672956341305,Credit Card,Business,Seville,37.3891,-5.9845,ATM,EUR,44.64,0.0,0.0,770,1835.64,Low Income Segment,Financial Literacy Program Access,8615.67,44.64,0.0,0.0,1835.64
73,7331,2024-03-29,Transfer,13089.71897175939,Mortgage,Gold,Zaragoza,41.6488,-0.8891,ATM,EUR,0.0,0.0,0.0,783,3936.14,Middle Income Segment,Mid-tier Savings Booster,13089.72,0.0,0.0,0.0,3936.14
74,9571,2024-08-26,Card Payment,3864.744055413235,Credit Card,Student,Seville,37.3891,-5.9845,Branch,EUR,48.22,0.0,0.0,643,5948.17,Middle Income Segment,Gold Card with Travel Benefits,3864.74,48.22,0.0,0.0,5948.17
75,9684,2023-05-02,Withdrawal,11778.27789178643,Loan,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0.0,97.73,0.0,736,8247.87,High Income Segment,Premium Investment Services,11778.28,0.0,97.73,0.0,8247.87
76,8208,2024-04-24,Withdrawal,3261.470132321786,Savings Account,Business,Bilbao,43.263,-2.935,Online,EUR,0.0,0.0,0.0,444,3618.49,Middle Income Segment,Mid-tier Savings Booster,3261.47,0.0,0.0,0.0,3618.49
77,6276,2024-04-07,Loan Payment,12684.05405192339,Mortgage,Platinum,Bilbao,43.263,-2.935,Mobile,EUR,0.0,0.0,59.06,510,1871.71,Low Income Segment,Financial Literacy Program Access,12684.05,0.0,0.0,59.06,1871.71
78,3062,2023-03-21,Withdrawal,4620.69743069399,Savings Account,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0.0,0.0,0.0,661,3752.08,Middle Income Segment,Mid-tier Savings Booster,4620.7,0.0,0.0,0.0,3752.08
79,1064,2023-03-27,Card Payment,1169.032444550745,Savings Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0.0,0.0,0.0,543,7236.44,High Income Segment,Premium Investment Services,1169.03,0.0,0.0,0.0,7236.44
80,9006,2024-12-23,Card Payment,6204.46601038554,Loan,Student,Madrid,40.4168,-3.7038,Branch,EUR,0.0,98.42,0.0,488,6425.02,Middle Income Segment,Personal Loan Cashback Offer,6204.47,0.0,98.42,0.0,6425.02
81,3568,2023-01-20,Transfer,8764.260516851964,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0.0,0.0,0.0,329,7358.47,High Income Segment,Exclusive Platinum Package,8764.26,0.0,0.0,0.0,7358.47
82,6463,2024-01-14,Card Payment,6258.871240455062,Checking Account,Platinum,Zaragoza,41.6488,-0.8891,Branch,EUR,0.0,0.0,0.0,635,6110.31,Middle Income Segment,Mid-tier Savings Booster,6258.87,0.0,0.0,0.0,6110.31
83,3027,2024-05-18,Loan Payment,4988.477636862484,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,USD,0.0,85.74,73.01,818,8831.07,High Income Segment,Premium Investment Services,4300.41,0.0,73.91,62.94,7612.99
84,3695,2023-09-09,Transfer,1053.673504494913,Savings Account,Business,Bilbao,43.263,-2.935,Mobile,EUR,0.0,0.0,0.0,560,7952.06,High Income Segment,Premium Investment Services,1053.67,0.0,0.0,0.0,7952.06
85,6258,2025-03-15,Deposit,11077.94817137239,Mortgage,Standard,Valencia,39.4699,-0.3763,Branch,USD,0.0,0.0,0.0,660,8832.24,High Income Segment,Exclusive Platinum Package,9549.96,0.0,0.0,0.0,7614.0
86,6618,2023-09-12,Deposit,7359.72573875062,Loan,Business,Bilbao,43.263,-2.935,ATM,EUR,0.0,95.35,0.0,575,6098.89,Middle Income Segment,Personal Loan Cashback Offer,7359.73,0.0,95.35,0.0,6098.89
87,7736,2024-08-25,Withdrawal,11154.91219353327,Loan,Platinum,Madrid,40.4168,-3.7038,Branch,EUR,0.0,41.33,0.0,809,2952.17,Low Income Segment,Financial Literacy Program Access,11154.91,0.0,41.33,0.0,2952.17
88,1391,2023-10-26,Loan Payment,5110.551794044909,Checking Account,Gold,Bilbao,43.263,-2.935,Branch,USD,0.0,0.0,124.59,472,3676.52,Middle Income Segment,Mid-tier Savings Booster,4405.65,0.0,0.0,107.41,3169.41
89,6892,2023-01-06,Card Payment,174.2047693004326,Credit Card,Student,Murcia,37.9847,-1.1287,Branch,EUR,6.25,0.0,0.0,454,9949.31,High Income Segment,Exclusive Platinum Package,174.2,6.25,0.0,0.0,9949.31
90,4561,2025-03-25,Fee,14403.51843942041,Mortgage,Gold,Seville,37.3891,-5.9845,Mobile,EUR,0.0,0.0,0.0,570,5640.03,Middle Income Segment,Mid-tier Savings Booster,14403.52,0.0,0.0,0.0,5640.03
91,7184,2023-06-05,Deposit,8843.36413322636,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0.0,0.0,0.0,529,2879.46,Low Income Segment,Financial Literacy Program Access,8843.36,0.0,0.0,0.0,2879.46
92,4099,2023-11-10,Card Payment,8884.532581529706,Mortgage,Platinum,Murcia,37.9847,-1.1287,Online,USD,0.0,0.0,0.0,364,3740.15,Middle Income Segment,Mid-tier Savings Booster,7659.08,0.0,0.0,0.0,3224.27
93,7278,2025-03-29,Deposit,13549.26196219433,Mortgage,Standard,Barcelona,41.3874,2.1686,Online,USD,0.0,0.0,0.0,839,2850.57,Low Income Segment,Financial Literacy Program Access,11680.4,0.0,0.0,0.0,2457.39
94,9392,2024-03-12,Deposit,6496.194638238955,Credit Card,Student,Valencia,39.4699,-0.3763,Mobile,EUR,44.32,0.0,0.0,545,9661.93,High Income Segment,Exclusive Platinum Package,6496.19,44.32,0.0,0.0,9661.93
95,4104,2023-09-13,Deposit,5957.913422591237,Loan,Gold,Bilbao,43.263,-2.935,Online,USD,0.0,65.65,0.0,755,5414.57,Middle Income Segment,Personal Loan Cashback Offer,5136.13,0.0,56.59,0.0,4667.73
96,8215,2024-07-23,Withdrawal,1343.182043733301,Loan,Standard,Valencia,39.4699,-0.3763,Online,EUR,0.0,91.45,0.0,326,5306.45,Middle Income Segment,Personal Loan Cashback Offer,1343.18,0.0,91.45,0.0,5306.45
97,3454,2024-01-19,Loan Payment,9411.9188431971,Credit Card,Student,Barcelona,41.3874,2.1686,Online,EUR,23.11,0.0,1.07,629,5163.5,Middle Income Segment,Gold Card with Travel Benefits,9411.92,23.11,0.0,1.07,5163.5
98,9996,2024-03-02,Deposit,985.9744394499596,Loan,Platinum,Seville,37.3891,-5.9845,Online,USD,0.0,97.39,0.0,424,7744.14,High Income Segment,Premium Investment Services,849.98,0.0,83.96,0.0,6675.98
99,3731,2024-10-07,Card Payment,1673.862322606049,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,EUR,5.38,0.0,0.0,797,2442.28,Low Income Segment,Financial Literacy Program Access,1673.86,5.38,0.0,0.0,2442.28
100,9154,2023-09-12,Card Payment,8017.889437206215,Credit Card,Business,Bilbao,43.263,-2.935,Online,EUR,21.5,0.0,0.0,407,2025.61,Low Income Segment,Financial Literacy Program Access,8017.89,21.5,0.0,0.0,2025.61
101,6056,2024-06-23,Withdrawal,6095.400293953795,Loan,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0.0,29.84,0.0,447,2550.53,Low Income Segment,Financial Literacy Program Access,6095.4,0.0,29.84,0.0,2550.53
102,9110,2023-04-01,Loan Payment,2223.654275473728,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,78.06,158.43,353,4587.56,Middle Income Segment,Personal Loan Cashback Offer,2223.65,0.0,78.06,158.43,4587.56
103,4840,2024-02-09,Loan Payment,2806.01725984452,Credit Card,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,11.45,0.0,115.8,632,6515.67,Middle Income Segment,Gold Card with Travel Benefits,2806.02,11.45,0.0,115.8,6515.67
104,2028,2025-01-28,Fee,7751.273231839055,Checking Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0.0,0.0,0.0,568,8404.27,High Income Segment,Premium Investment Services,7751.27,0.0,0.0,0.0,8404.27
105,8385,2023-12-02,Transfer,2915.203765748698,Savings Account,Gold,Barcelona,41.3874,2.1686,Mobile,EUR,0.0,0.0,0.0,425,3015.96,Middle Income Segment,Mid-tier Savings Booster,2915.2,0.0,0.0,0.0,3015.96
106,1502,2024-05-16,Deposit,5992.922160327472,Mortgage,Business,Madrid,40.4168,-3.7038,Branch,EUR,0.0,0.0,0.0,846,7179.39,High Income Segment,Exclusive Platinum Package,5992.92,0.0,0.0,0.0,7179.39
107,7910,2024-08-12,Withdrawal,8571.7451843633,Credit Card,Platinum,Seville,37.3891,-5.9845,ATM,EUR,11.28,0.0,0.0,713,5022.64,Middle Income Segment,Gold Card with Travel Benefits,8571.75,11.28,0.0,0.0,5022.64
108,7938,2024-08-28,Loan Payment,5962.569575102838,Loan,Business,Murcia,37.9847,-1.1287,Mobile,EUR,0.0,84.77,50.65,480,8514.54,High Income Segment,Premium Investment Services,5962.57,0.0,84.77,50.65,8514.54
109,5488,2023-11-05,Fee,3018.779873085565,Credit Card,Business,Seville,37.3891,-5.9845,Online,EUR,40.07,0.0,0.0,576,2071.52,Low Income Segment,Financial Literacy Program Access,3018.78,40.07,0.0,0.0,2071.52
110,1206,2024-02-12,Transfer,2049.427256692962,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0.0,65.53,0.0,660,8679.8,High Income Segment,Premium Investment Services,2049.43,0.0,65.53,0.0,8679.8
111,6134,2024-12-17,Loan Payment,7284.370961104136,Credit Card,Business,Bilbao,43.263,-2.935,Branch,EUR,25.16,0.0,174.11,722,1124.06,Low Income Segment,Financial Literacy Program Access,7284.37,25.16,0.0,174.11,1124.06
112,6977,2025-02-08,Loan Payment,7407.963478770808,Loan,Student,Bilbao,43.263,-2.935,Mobile,EUR,0.0,19.68,93.13,432,2928.71,Low Income Segment,Financial Literacy Program Access,7407.96,0.0,19.68,93.13,2928.71
113,8721,2024-08-18,Deposit,727.248188313891,Checking Account,Gold,Zaragoza,41.6488,-0.8891,Online,EUR,0.0,0.0,0.0,450,6983.29,Middle Income Segment,Mid-tier Savings Booster,727.25,0.0,0.0,0.0,6983.29
